oiii_hbeta_ratio,hbeta_hgamma_ratio,oiii_hgamma_ratio,h_beta_eqw,h_beta_flux,z,e_bv_sfd
0.2666491,2.234088,0.5957174,-28.28315,1813.709,0.05026987,0.02607697
0.1663319,2.437711,0.4054691,-24.24099,4356.603,0.136087,0.04312729
0.7089028,1.660927,1.177436,-7.840153,767.4379,0.08377949,0.02384765
1.056359,0.9938819,1.049897,-0.4420483,61.39754,0.05456431,0.02247991
0.8268337,1.667266,1.378551,-0.4356185,47.10873,0.05574698,0.03816396
0.002657284,1.180736,0.003137551,-2.628795,289.9603,0.1807287,0.02854004
0.9649365,0.9550459,0.9215587,-0.4699351,50.46987,0.05076645,0.02436521
0.4054109,1.633979,0.662433,-10.45688,759.5152,0.1674174,0.02117208
0.9054357,1.137604,1.030027,-4.384429,568.3914,0.09969537,0.02095873
2.555323,1.560096,3.986547,-9.680372,926.9399,0.126024,0.04435388
0.4925191,2.270702,1.118364,-26.61959,1777.994,0.2755408,0.01909766
0.7759572,1.189505,0.9230051,-4.659881,892.6796,0.1347965,0.01291334
0.9926052,1.898506,1.884467,-12.15111,1786.943,0.06183716,0.04036992
0.3895285,2.1046,0.8198016,-27.91396,1886.237,0.1207952,0.04288088
0.6300117,1.699741,1.070857,-8.637259,873.853,0.1472984,0.05242494
0.2684556,2.136301,0.573502,-27.60482,2409.637,0.1051187,0.01900618
0.8488361,1.598201,1.356611,-10.21055,1447.242,0.08373255,0.02868657
0.8719287,2.085126,1.818081,-11.2408,2536.629,0.2858998,0.01648002
0.9640221,1.215455,1.171725,-0.8762947,92.86768,0.05894792,0.03713184
0.1682545,2.572487,0.4328325,-25.75145,3359.375,0.1601164,0.01523244
0.2583514,1.980667,0.5117081,-15.74488,944.9173,0.2716148,0.01725316
0.8818145,0.9756899,0.8603775,-3.91738,835.9516,0.1717544,0.04689745
1.169414,1.360596,1.5911,-0.4531893,32.94079,0.0661956,0.1023146
1.116217,1.124857,1.255584,-0.3569266,18.73257,0.05636991,0.01267224
0.3508296,2.046999,0.7181479,-12.26691,2711.675,0.1145197,0.02625755
0.7637355,2.185774,1.669353,-15.89823,2766.563,0.1637161,0.0166308
1.036598,1.842654,1.910092,-8.841555,2140.768,0.1266571,0.05069542
0.5544354,1.979783,1.097662,-21.56355,9483.637,0.08929483,0.4328821
18.68541,0.08951077,1.672545,-0.05649709,0.7176209,0.06470897,0.04999544
1.063505,0.6538392,0.6953616,-0.2483293,21.97251,0.06201788,0.05555102
0.3964647,1.126366,0.4465646,-0.7017177,94.42793,0.05247626,0.03350921
1.383884,11.7319,16.2356,-0.4170801,38.21439,0.05224967,0.05689964
1.068553,1.391462,1.486851,-0.5953308,61.31808,0.07323702,0.01829139
1.519325,1.981688,3.010827,-0.3452289,34.03604,0.05463336,0.02438948
0.3048607,2.144933,0.6539056,-23.61081,3987.076,0.05502596,0.01521724
2.760107,1.636287,4.516329,-8.725917,1617.351,0.06871108,0.02711669
0.4303851,1.552831,0.6683153,-6.32075,767.5447,0.1918546,0.03961959
0.4679082,0.8134186,0.3806052,-0.4456516,46.99559,0.05186382,0.01367551
0.4281641,0.7379082,0.3159458,-0.1329573,15.88499,0.06196309,0.01415497
1.896562,1.358969,2.57737,-0.2428704,27.26945,0.05708254,0.02708664
0.5937402,1.288248,0.7648848,-0.2838545,21.13997,0.05376228,0.02082672
0.7755668,1.956236,1.517192,-22.08883,5256.383,0.07809116,0.01029091
0.8111939,1.257553,1.02012,-3.992025,655.4658,0.2418267,0.04276688
0.1252142,1.160089,0.1452596,-3.646176,773.0198,0.197447,0.02654593
1.016777,1.798387,1.828558,-0.7344704,54.44826,0.06349286,0.02584593
0.6440513,1.016035,0.6543786,-4.141082,367.7924,0.190513,0.02776245
0.4794881,1.004221,0.481512,-4.365608,640.7239,0.09574385,0.0190759
0.9069203,1.946449,1.765274,-8.205224,2177.18,0.1437301,0.01563415
0.255898,2.250914,0.5760044,-23.49095,2066.256,0.2876647,0.0306989
1.341136,3.80393,5.101589,-0.3301932,36.65266,0.05618459,0.08578774
0.3805769,2.229087,0.8483391,-15.2922,4447.396,0.1415131,0.08946528
0.1944637,2.303692,0.4479845,-37.89765,2499.298,0.08180236,0.03082279
1.842473,1.608499,2.963615,-0.2951777,22.32348,0.06078022,0.04847138
1.025134,1.279172,1.311323,-0.3034805,33.4879,0.06457099,0.02098229
0.7772707,0.9010398,0.7003518,-0.3363576,35.00586,0.05046839,0.01076256
0.3039684,2.128531,0.6470062,-12.61329,1508.802,0.08168268,0.01165435
0.798463,1.668067,1.33189,-5.208287,942.4144,0.1269882,0.01675888
0.3550909,2.015965,0.7158508,-11.93238,967.4325,0.1206493,0.01723473
3.506023,1.518456,5.323744,-9.84405,1342.066,0.1175316,0.01869195
0.7845697,0.9849687,0.7727766,-0.6262717,64.0114,0.05936958,0.01325422
0.5941785,1.606186,0.9543612,-0.6175584,75.40821,0.0520518,0.02022265
0.3686905,1.689524,0.6229115,-8.866331,982.1518,0.121609,0.03196147
0.3356205,2.088459,0.7009295,-16.67516,3167.782,0.2848447,0.01505516
0.9293637,1.328476,1.234638,-0.5936761,76.85601,0.05100756,0.02598047
0.8968338,1.155576,1.03636,-0.6654313,69.07693,0.05427433,0.02707811
0.2283979,2.313178,0.528325,-21.31766,5024.298,0.1188412,0.04138075
0.7668698,1.191549,0.9137629,-4.530081,1351.735,0.2407427,0.03843554
1.035149,1.135655,1.175573,-0.6958082,77.76763,0.05069571,0.02324224
1.563517,1.756025,2.745576,-15.53182,1350.098,0.1591409,0.04080644
1.231626,2.29719,2.829279,-31.01656,3829.025,0.07506416,0.01333245
0.3498048,1.98563,0.6945829,-15.90344,1274.526,0.1322984,0.0506738
1.51079,1.872083,2.828324,-0.4293922,23.01826,0.06347251,0.07197216
0.4098286,2.049365,0.8398883,-17.4852,2229.068,0.2344913,0.02005281
0.7483589,1.124925,0.8418479,-0.4409039,21.93393,0.05744962,0.02300085
0.3611717,2.393383,0.864422,-20.94106,4474.285,0.2161547,0.06868968
0.7955433,1.126698,0.8963369,-0.1702033,11.26082,0.05520906,0.02759658
1.433638,4.352128,6.239376,-0.2622188,36.36067,0.05564728,0.03198527
0.2160255,2.210019,0.4774205,-31.98537,4298.79,0.1058275,0.02938451
2.719439,1.050226,2.856027,-0.1499407,12.96903,0.0666587,0.01276868
1.913376,2.563015,4.90401,-11.93965,2226.578,0.06521195,0.0230756
1.758161,0.6525812,1.147343,-0.2016577,9.687269,0.06703619,0.02934572
1.241625,1.260422,1.564971,-3.723757,498.1334,0.08424754,0.03708306
0.8165285,1.581678,1.291486,-5.983191,808.6858,0.1244479,0.06539792
0.84781,1.75174,1.485142,-8.021374,999.2677,0.09159148,0.05900654
0.1203783,1.060523,0.127664,-3.341009,694.1924,0.1524794,0.01339313
0.9050666,2.022267,1.830286,-0.3610589,13.68435,0.07390932,0.03424846
0.7073347,0.9181229,0.6494203,-0.424467,23.05058,0.05626343,0.01237072
1.017453,1.029332,1.047297,-0.3260559,31.11092,0.05249519,0.05156822
0.6218057,2.219383,1.380025,-21.8575,6220.282,0.06449452,0.02924547
0.4739082,2.320319,1.099618,-20.40405,1639.537,0.2817113,0.02384331
0.4635237,1.779278,0.8247373,-16.60515,2236.087,0.1277341,0.03951375
