oiii_5007_flux,nii_6584_flux,h_beta_flux,h_alpha_flux,oiii_hbeta_ratio,nii_halpha_ratio,class,subclass
52.35191,174.7336,35.74885,143.8768,1.464436,1.214467,GALAXY,BROADLINE
48.20422,117.0291,42.46762,109.5187,1.135082,1.068576,GALAXY,BROADLINE
176.7543,209.0114,111.2034,265.7087,1.589469,0.7866186,GALAXY,BROADLINE
130.5701,63.12643,35.5944,112.7137,3.668276,0.5600601,GALAXY,
93.88316,370.2016,59.08947,213.7847,1.588831,1.731657,GALAXY,BROADLINE
35.62173,104.6454,55.51481,174.6842,0.6416616,0.5990548,GALAXY,STARFORMING
31.79686,142.6109,57.48275,331.4339,0.5531548,0.4302844,GALAXY,STARFORMING BROADLINE
218.7324,816.3755,505.8112,1826.617,0.4324388,0.4469331,GALAXY,STARFORMING
91.87317,387.5037,124.5139,532.1008,0.7378547,0.7282525,GALAXY,STARFORMING
1510.62,882.5734,910.3036,3310.609,1.659468,0.2665895,GALAXY,STARFORMING
2545.94,1973.572,2119.171,6880.708,1.201385,0.2868268,GALAXY,STARBURST
78.77563,225.5064,59.15803,166.2006,1.331613,1.356833,GALAXY,BROADLINE
87.98524,492.7685,148.2663,576.1801,0.593427,0.8552335,GALAXY,STARFORMING BROADLINE
370.8294,1017.009,185.4991,805.1729,1.99909,1.263094,GALAXY,AGN BROADLINE
88.7822,135.8652,64.62541,183.0829,1.373797,0.7420967,GALAXY,BROADLINE
2703.689,804.0414,1363.554,4564.237,1.982826,0.1761612,GALAXY,STARBURST
83.72035,187.0802,56.97929,120.736,1.469312,1.549497,GALAXY,BROADLINE
82.0985,221.4858,38.93745,139.2496,2.108471,1.590567,GALAXY,BROADLINE
162.6689,1728.02,821.5505,4328.415,0.1980023,0.3992271,GALAXY,STARBURST
50.58302,54.2353,20.28295,60.46059,2.49387,0.8970356,GALAXY,BROADLINE
89.08842,332.4998,37.23289,198.7292,2.392735,1.673131,GALAXY,BROADLINE
566.336,2705.238,861.8557,4598.079,0.6571123,0.5883409,GALAXY,STARBURST
70.0569,402.5594,236.4291,923.4749,0.2963125,0.4359181,GALAXY,STARFORMING
47.88549,860.1495,382.542,1360.418,0.1251771,0.6322683,GALAXY,STARFORMING
60.33906,139.7782,38.31512,132.6429,1.574811,1.053794,GALAXY,BROADLINE
41.82707,67.62585,31.88369,82.85461,1.311864,0.8161989,GALAXY,
2969.591,8326.551,4203.848,16946.53,0.7063982,0.4913427,GALAXY,STARBURST
197.7986,242.5154,133.17,356.8911,1.485309,0.6795221,GALAXY,AGN BROADLINE
45.98049,101.3646,24.46935,82.88174,1.879106,1.223003,GALAXY,BROADLINE
59.01332,290.929,82.29792,356.5822,0.7170694,0.8158821,GALAXY,STARFORMING BROADLINE
242.9898,3545.336,2526.197,9994.48,0.09618796,0.3547294,GALAXY,STARBURST
164.2781,502.3858,135.2112,527.9299,1.214974,0.9516146,GALAXY,AGN BROADLINE
470.1197,3992.471,2261.424,8449.703,0.2078866,0.4724983,GALAXY,STARBURST
286.3273,610.662,154.8157,646.5287,1.849472,0.9445243,GALAXY,AGN
354.336,691.6788,432.2445,1476.273,0.8197583,0.4685303,GALAXY,STARFORMING
3904.738,1267.244,2039.811,7974.744,1.914265,0.1589071,GALAXY,STARBURST
71.53233,901.051,413.0907,2447.538,0.1731637,0.3681459,GALAXY,STARFORMING
95.74272,482.0188,73.97823,375.0424,1.294201,1.285238,GALAXY,BROADLINE
84.81606,162.5916,30.12839,93.56311,2.815155,1.737774,GALAXY,BROADLINE
131.3573,733.5363,99.25674,381.3207,1.323409,1.923673,GALAXY,AGN
76.21757,2264.24,581.3502,3564.034,0.1311044,0.6353027,GALAXY,STARFORMING
99.20126,457.9238,369.6912,1376.463,0.2683355,0.3326814,GALAXY,STARFORMING
165.9937,3082.557,1454.864,7645.03,0.1140957,0.4032106,GALAXY,STARBURST
1267.279,1467.125,1461.345,5745.364,0.8672007,0.255358,GALAXY,STARBURST
179.1829,375.7175,120.8777,532.2703,1.482349,0.7058773,GALAXY,STARFORMING
24.81091,98.9289,17.75634,93.27818,1.397299,1.060579,GALAXY,BROADLINE
43.36893,106.5497,30.17632,94.28511,1.437184,1.130079,GALAXY,BROADLINE
35.60287,153.6343,31.32659,130.4462,1.136507,1.17776,GALAXY,BROADLINE
50.62443,116.9346,37.42976,132.2149,1.352518,0.8844281,GALAXY,BROADLINE
34.95742,135.3491,20.84201,112.7452,1.677258,1.200487,GALAXY,BROADLINE
