# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
0.2340 10.0446 12.2996 0.1224 40.0023 0.0008 32.7400 0.1206 7.3942 5.6558 6.8025 4.0617 10.0598 1.3301 43.8901 43.7524 44.1941 43.4688 0.6577 44.0988 44.2738 0.5117 42.5835 42.8097 0.6273 43.6903 42.9754 3.0127 -271.8709 -300.5000
1.0406 8.5275 12.0127 0.0645 35.0154 0.0329 43.7206 0.2183 7.3578 4.7643 6.9067 4.2898 9.9700 1.0035 43.9524 43.7080 44.2885 43.5118 0.6111 44.1200 44.2783 0.4880 42.5660 42.8293 0.6471 43.7114 43.0674 3.4770 -267.3361 -299.2928
1.2611 7.9026 11.9413 0.0555 41.5229 0.0001 31.6001 0.1875 7.4107 5.5741 6.7780 4.2044 9.9801 1.0428 43.1671 43.7285 44.2164 43.4854 0.6364 44.1245 44.2848 0.8545 42.6059 42.8083 0.6145 43.7159 42.2045 0.5701 -278.5969 -306.9819
1.3212 8.0262 10.0798 0.0675 36.9397 0.0185 38.5435 0.1365 7.4380 5.7488 6.8133 4.0903 9.8500 1.2125 44.0049 43.6640 44.2381 43.6282 0.5206 44.1311 44.2732 0.4552 42.6940 42.7826 0.5508 43.7152 43.0931 3.9242 -266.8309 -301.2543
1.1354 11.2766 9.8241 0.0854 41.9917 0.0016 32.9596 0.1804 7.2442 5.4547 6.7783 4.1960 10.1415 1.0030 42.9891 43.7638 44.1963 43.5080 0.6431 44.1799 44.3327 0.9178 42.6015 42.8164 0.6213 43.7988 42.2245 0.3784 -269.9676 -298.9484
0.4566 0.8325 8.8314 0.4424 39.4315 0.0142 35.2311 0.1199 7.1225 4.9662 6.8481 4.1341 9.9430 0.9430 42.9643 43.7860 44.3045 43.3507 0.7315 44.1516 44.3225 0.9089 42.4315 42.8801 0.7375 43.7430 41.6675 0.3574 -269.2008 -298.9256
0.6888 11.7265 12.4284 0.0925 41.0242 0.0009 34.4491 0.1482 7.3738 5.7109 6.7884 4.1148 9.2093 16.3632 43.9700 43.7136 44.2186 43.5610 0.5870 44.1230 44.2798 0.4705 42.6347 42.8015 0.5948 43.7071 43.1088 3.6208 -267.2481 -298.9525
0.5555 9.7766 11.4922 0.0635 41.4929 0.0134 27.2576 0.1633 7.3165 5.1524 6.7792 4.1385 10.0399 0.9180 43.9018 43.6804 44.1444 43.5616 0.5680 44.1260 44.2711 0.5206 42.6455 42.7487 0.5591 43.7174 43.0578 3.0947 -280.5418 -299.6498
0.9274 10.6988 10.9377 0.0687 41.7104 0.0111 33.3849 0.1671 7.4249 5.3509 6.7881 4.1254 9.9452 1.0403 43.5056 43.7502 44.2818 43.5082 0.6358 44.1314 44.2977 0.7324 42.5917 42.8503 0.6446 43.7228 42.8512 1.2429 -276.8980 -299.0676
0.3084 13.0636 11.1147 0.1281 41.7694 0.0058 24.4341 0.1643 7.3879 5.2802 6.7575 4.1545 10.0108 0.8584 44.0320 43.6414 44.1791 43.6170 0.5141 44.1341 44.2682 0.4504 42.6868 42.7442 0.5330 43.7255 43.1708 4.1769 -276.5721 -301.7732
1.1987 12.3098 9.7981 0.0817 41.8119 0.0125 36.9721 0.1505 7.3276 5.0125 6.8628 4.0247 9.9350 1.0162 43.1989 43.6305 44.2685 43.6168 0.5079 44.1529 44.2821 0.8489 42.7033 42.7746 0.5409 43.7370 42.3199 0.6134 -267.4225 -299.0653
0.4462 8.7878 12.2219 0.0772 38.1135 0.0013 28.5813 0.1122 7.4189 5.5134 6.7947 4.0151 9.9430 0.9430 43.4686 43.7368 44.1542 43.5558 0.6027 44.1513 44.3042 0.7657 42.6430 42.7817 0.5792 43.7550 42.5767 1.1415 -270.4337 -299.3086
0.2228 4.5899 9.5150 0.4159 33.5503 0.0396 39.1354 0.1310 7.2473 5.0238 6.8279 4.1967 9.9092 0.9576 43.9133 43.6574 44.2130 43.6143 0.5248 44.1404 44.2776 0.5131 42.6657 42.7680 0.5586 43.7245 43.0432 3.1779 -274.9344 -299.0707
0.6221 6.4262 8.8703 0.3158 37.0295 0.0376 36.8657 0.1288 6.9976 4.9058 6.8588 4.0376 9.9858 1.8656 43.1224 43.7643 44.2446 43.4890 0.6533 44.1534 44.3157 0.8794 42.5813 42.8405 0.6449 43.7572 42.4874 0.5143 -270.2446 -299.2210
1.1663 9.1476 8.9491 0.3385 37.3319 0.0492 50.6735 0.1210 6.9905 4.8401 6.9329 4.0599 9.4115 9.3386 43.6285 43.6991 44.2389 43.6046 0.5541 44.1299 44.2813 0.6728 42.6658 42.8028 0.5783 43.7214 42.8324 1.6494 -267.4170 -299.2703
1.3456 8.7233 10.7945 0.0728 39.9894 0.0007 5.5464 0.1415 7.3953 5.7425 6.6845 4.1130 9.9350 1.0162 43.9551 43.6348 44.2218 43.6456 0.4938 44.1414 44.2732 0.4988 42.7125 42.7587 0.5266 43.7329 43.1360 3.4985 -268.6882 -303.1360
0.6557 5.7496 9.4942 0.1198 41.5096 0.0003 19.3906 0.1755 7.1092 5.5031 6.7482 4.0842 9.9705 0.8831 43.1130 43.6916 44.3245 43.5203 0.5974 44.1451 44.2929 0.8678 42.6191 42.8338 0.6211 43.7251 42.0476 0.5034 -268.9289 -301.3181
1.4274 12.6960 10.0431 0.0729 39.5437 0.0023 25.9164 0.1741 7.3469 5.5028 6.8120 4.2120 9.9833 1.0889 43.0624 43.7549 44.1288 43.4986 0.6434 44.1148 44.2836 0.8797 42.6359 42.7769 0.5805 43.7062 42.1729 0.4479 -280.3220 -299.3049
0.7925 5.9297 9.6739 0.0891 41.7857 0.0080 32.9379 0.1927 7.1954 5.3908 6.7513 4.1890 9.9566 1.0487 43.9321 43.7320 44.3043 43.5151 0.6223 44.1255 44.2892 0.5029 42.5713 42.8498 0.6551 43.7169 43.0552 3.3185 -268.0136 -299.2435
0.8218 11.4527 9.0378 0.3286 39.8713 0.0483 32.7950 0.1223 7.0518 5.0284 6.7975 4.0937 10.0870 1.0388 43.7061 43.5640 44.0413 43.6213 0.4671 44.1773 44.2813 0.6676 42.7303 42.6388 0.4475 43.7810 42.8704 1.9722 -269.6388 -298.9073
0.9519 6.2701 9.2369 0.1721 35.4444 0.0180 44.7308 0.1706 6.9835 5.0924 6.8729 4.1164 9.6282 3.5134 43.8835 43.7853 44.3555 43.4952 0.6611 44.1290 44.3088 0.5443 42.5171 42.9023 0.7082 43.7327 43.0465 2.9671 -268.9971 -301.4559
0.2112 8.1716 11.6405 0.1212 28.2597 0.0284 35.1980 0.1221 7.4021 5.4991 6.8714 4.0847 10.0399 0.9180 43.9175 43.6782 44.0673 43.6520 0.5151 44.1139 44.2601 0.5046 42.7378 42.7083 0.4831 43.7053 43.0200 3.2085 -277.7496 -301.6322
0.5048 6.3325 9.5575 0.1608 41.8027 0.0023 26.5531 0.1586 7.1099 5.5153 6.8065 4.1482 10.1415 1.0030 43.0276 43.6979 44.2010 43.5965 0.5581 44.1451 44.2907 0.8989 42.6400 42.7850 0.5827 43.7489 42.1823 0.4134 -270.0863 -298.9030
0.4020 12.5555 12.3114 0.1268 41.9191 0.0092 30.1399 0.1565 7.3958 5.2139 6.8014 4.1612 9.9339 1.0585 44.1407 43.7754 44.2004 43.4264 0.6907 44.0926 44.2770 0.3513 42.5587 42.8242 0.6483 43.6723 43.3881 5.3648 -272.9782 -301.2811
1.0737 1.0478 9.2068 0.1317 24.6367 0.0058 39.4425 0.1834 6.9828 6.1382 6.8690 4.2472 9.9448 0.9022 43.1875 43.7235 44.1862 43.5364 0.6061 44.1404 44.2937 0.8589 42.6789 42.7912 0.5643 43.7441 42.4777 0.5975 -270.4744 -304.8029
1.8218 11.6783 11.4944 0.0610 35.9715 0.0282 38.1852 0.1687 7.3552 5.3012 6.8466 4.1787 9.9163 0.9474 42.9143 43.7716 44.1909 43.4013 0.7011 44.1265 44.2980 0.9171 42.5308 42.8175 0.6593 43.7303 41.7110 0.3185 -267.0890 -299.0499
1.3174 8.0477 13.1420 0.2334 34.9687 0.0258 53.1358 0.1253 7.6009 4.5145 6.9498 4.1547 9.9448 0.9022 42.7510 43.7227 44.1444 43.4957 0.6277 44.1494 44.2988 0.9444 42.6105 42.7698 0.5907 43.7532 41.5652 0.2187 -274.4639 -299.2280
1.0735 12.4628 10.0125 0.0830 38.5845 0.0138 37.0773 0.1522 7.4452 4.7385 6.8580 4.1083 9.9858 1.8656 44.1331 43.6383 44.2169 43.6376 0.5004 44.1144 44.2541 0.3830 42.7301 42.7587 0.5165 43.7058 43.2652 5.2714 -267.7115 -299.2986
1.3822 10.2294 7.0479 0.6958 21.4647 0.0410 46.5096 0.1249 6.4755 5.5381 6.8739 4.1297 9.5174 8.5120 42.9812 43.6450 44.1514 43.6141 0.5178 44.1440 44.2756 0.9080 42.7141 42.7335 0.5112 43.7478 42.1260 0.3715 -275.2407 -299.0642
0.6877 6.9754 12.7487 0.0745 40.9218 0.0042 16.1709 0.1394 7.3971 5.6713 6.7265 4.1156 10.0005 1.0348 43.3477 43.6870 44.1744 43.5818 0.5603 44.1290 44.2757 0.8040 42.6673 42.7666 0.5569 43.7328 41.9739 0.8640 -266.8524 -299.2720
1.8746 12.1117 12.5262 0.0781 22.5515 0.0043 48.8861 0.1778 7.4278 6.5142 6.8900 4.1291 9.5006 11.5498 43.6828 43.7505 44.1809 43.4631 0.6597 44.1406 44.3013 0.6503 42.5635 42.8021 0.6340 43.7321 42.7642 1.8691 -266.9131 -305.0572
0.9016 7.5231 9.6660 0.1127 40.4250 0.0068 26.9436 0.1539 7.2755 5.2783 6.7989 4.0946 9.9430 0.9430 43.8928 43.7435 44.2629 43.4925 0.6406 44.1259 44.2915 0.5257 42.5589 42.8380 0.6554 43.7174 43.1181 3.0313 -270.8072 -302.5390
