#Table1
sii_6717_flux,sii_6731_flux,nii_6584_flux,oi_6300_flux,oiii_5007_flux,h_alpha_flux,h_beta_flux,h_alpha_eqw,nii_6584_eqw,oiii_sigma,w1mpro,w2mpro,w3mpro,z,class,subclass,bestobjid
33.2163,21.43008,23.59425,4.887948,25.72125,113.3372,35.98272,-18.09828,-3.302399,42.9879,14.714,14.433,12.039,0.0199993,GALAXY,STARFORMING,1237648721753276559
55.6404,37.37824,42.20855,10.83131,104.2611,212.5971,74.67915,-30.47298,-6.255319,37.19143,14.74,14.627,11.56,0.04655848,GALAXY,STARFORMING,1237651800159748237
47.75138,32.6119,123.455,11.56401,27.43689,266.537,64.29639,-8.237713,-3.998318,169.8477,13.057,13.008,9.859,0.08627161,GALAXY,STARFORMING,1237654669198164194
31.21758,25.97692,98.81001,9.025476,12.67478,255.8474,62.44374,-28.9029,-11.29531,62.85977,14.736,14.594,10.546,0.08433501,GALAXY,STARFORMING,1237651799622942827
38.78349,29.63558,78.74199,13.15935,46.54971,130.3741,24.96907,-11.80921,-7.228993,135.0244,14.338,14.108,11.089,0.1668876,GALAXY,AGN,1237648721217257601
36.35145,23.14262,87.56698,13.30203,43.43653,59.95195,15.91731,-2.817668,-4.016062,255.9725,13.27,13.088,12.199,0.1391702,GALAXY,,1237648721217257621
254.3179,211.6468,708.8573,94.52248,711.9967,960.9924,160.043,-47.40646,-34.87457,170.615,12.742,11.422,8.187,0.1102809,GALAXY,AGN BROADLINE,1237648720143188098
31.31702,22.77495,80.64733,7.949218,12.2289,253.5972,45.99848,-18.64287,-5.709865,48.24798,13.715,13.457,9.96,0.1101958,GALAXY,STARFORMING,1237651799622811838
54.90516,28.82332,53.63553,8.712956,58.85229,228.8008,60.60601,-44.38,-10.07432,57.42218,15.06,14.753,11.031,0.0891128,GALAXY,STARBURST,1237650795147296897
149.3262,107.9706,352.4027,25.51764,56.91388,875.5927,196.5765,-47.00596,-18.83199,98.55546,14.016,13.739,9.789,0.08940861,GALAXY,STARBURST,1237650795147296855
236.2986,164.0212,380.4087,31.70715,109.8257,1253.103,293.0078,-55.09866,-16.81027,50.21936,13.415,13.191,9.273,0.02139691,GALAXY,STARBURST,1237651800696815831
81.14219,60.05169,207.3628,8.814327,20.10443,497.6858,112.1052,-24.69366,-10.10223,77.12688,13.829,13.637,10.273,0.06383968,GALAXY,STARFORMING,1237648721217192199
83.4271,59.16316,91.56993,14.9989,85.69548,404.6502,91.85473,-22.79928,-5.073157,36.55758,13.755,13.632,10.181,0.04578607,GALAXY,STARFORMING,1237651801233686759
27.73167,21.7487,81.51099,6.908892,8.988864,256.6754,52.61512,-14.32691,-4.757545,40.29853,13.847,13.633,10.196,0.08186871,GALAXY,STARFORMING,1237651800696815647
81.41887,66.64014,277.184,38.12624,255.691,203.1273,56.25274,-6.509332,-8.90536,113.868,13.062,12.882,10.337,0.08362079,GALAXY,AGN,1237651799622746278
29.93388,18.37644,68.43263,8.774839,14.32806,151.7438,32.21909,-9.440907,-4.225434,59.03868,13.662,13.441,10.254,0.09042946,GALAXY,STARFORMING,1237648720143122523
161.3549,114.2157,218.9889,24.78376,130.6652,821.1564,185.9286,-44.28257,-11.65342,62.69275,13.492,13.283,9.421,0.04863385,GALAXY,STARBURST,1237648720143057124
32.46215,24.83163,124.1617,10.61702,63.26905,174.0884,38.97179,-21.94146,-15.23596,138.5846,14.524,14.177,10.735,0.1375007,GALAXY,AGN,1237648720143122589
52.95959,53.18776,288.652,11.46595,27.90955,483.593,109.484,-55.01122,-31.36136,116.4528,14.77,14.257,9.707,0.1467323,GALAXY,,1237648720143122591
24.07854,18.52033,61.60482,10.83084,12.52802,144.6992,17.52187,-14.80237,-6.160532,142.621,13.819,13.59,9.893,0.08521271,GALAXY,STARFORMING,1237648721217061052
36.5425,22.50166,76.3737,6.795134,27.57891,172.4987,46.60953,-17.05337,-7.66435,102.7732,14.626,14.468,10.897,0.1248562,GALAXY,STARFORMING,1237648721217126706
25.95868,18.12416,16.22527,4.666993,28.25503,102.7766,31.3578,-24.04289,-3.662365,32.36502,15.573,14.959,12.042,0.04876426,GALAXY,STARFORMING,1237651799622680817
52.01378,27.32472,90.51871,11.59645,32.4646,145.1428,36.98163,-7.709749,-4.759777,128.6432,13.663,13.512,10.613,0.08359117,GALAXY,AGN,1237650794610294829
