# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
1.5006 3.6904 10.7489 0.7502 25.6637 0.0510 30.7636 0.0017 8.0421 6.6681 7.0218 4.5170 10.8316 6.3509 44.2709 44.8639 44.8680 43.2030 0.9786 44.6831 45.0940 0.6260 41.8702 43.6597 0.9840 44.2746 42.9731 7.2407 -350.0179 -381.8612
1.3693 8.8369 13.0677 0.6220 27.7100 0.0089 8.0390 0.0004 7.8280 6.5015 7.0383 4.5214 10.7483 6.7718 44.1865 44.8639 44.8752 43.1224 0.9822 44.7149 45.1068 0.6713 41.7666 43.6645 0.9875 44.2946 42.9138 5.9616 -348.1985 -381.8883
1.9764 9.4114 11.7747 0.7785 31.6495 0.0019 40.5828 0.0078 8.0010 6.3385 7.0960 4.5504 10.8279 7.6548 44.2291 44.8437 44.8455 43.1409 0.9806 44.6926 45.0855 0.6532 41.6918 43.6380 0.9888 44.2840 42.9332 6.5760 -346.8647 -384.5814
1.8858 6.8005 11.5621 0.7852 30.4411 0.0097 17.4203 0.0004 7.9396 6.3892 7.0249 4.5291 10.8769 7.0487 44.2351 44.8383 44.8419 43.1631 0.9793 44.6884 45.0807 0.6480 41.8666 43.6338 0.9832 44.2798 43.1130 6.6663 -345.4701 -381.8478
1.3167 11.6889 10.2550 0.7263 29.6443 0.0263 28.2377 0.0029 7.8725 6.3970 7.0956 4.5224 10.7735 4.9966 44.2480 44.8350 44.8408 43.1852 0.9781 44.6733 45.0727 0.6438 41.7026 43.6319 0.9884 44.2771 43.0841 6.8679 -354.1636 -382.7890
1.6353 4.4868 12.3780 0.7193 32.1721 0.0149 26.2052 0.0027 8.0446 6.2419 7.1120 4.5423 10.8046 3.7409 44.2590 44.8545 44.8582 43.2055 0.9781 44.6669 45.0820 0.6237 41.7534 43.6500 0.9875 44.2584 42.9337 7.0438 -345.7247 -381.8862
0.8662 8.5193 10.9052 0.6844 27.7377 0.0148 10.2140 0.0020 7.8589 6.5209 7.0708 4.5280 10.9238 1.9748 44.2466 44.8540 44.8572 43.1941 0.9786 44.6752 45.0849 0.6348 41.8105 43.6492 0.9857 44.2666 42.9864 6.8463 -347.0054 -381.8382
1.4509 0.4900 12.9788 0.7239 29.3034 0.0107 30.7589 0.0004 8.2634 6.4571 7.0994 4.5126 11.0109 0.6697 44.3246 44.8147 44.8478 43.2119 0.9756 44.6815 45.0645 0.5958 42.0120 43.6298 0.9765 44.2730 43.3306 8.1922 -348.7842 -381.8412
1.5431 3.6622 11.5195 0.7876 28.3302 0.0142 30.3179 0.0016 8.0828 6.5028 7.0935 4.5120 11.0375 0.7120 44.2772 44.8515 44.8574 43.1309 0.9813 44.6838 45.0868 0.6230 41.6739 43.6485 0.9895 44.2752 43.0988 7.3454 -346.5130 -389.2892
1.9896 9.2083 10.6034 0.7483 29.0532 0.0059 15.5160 0.0006 7.9497 6.4904 7.0664 4.5293 11.0282 0.6932 44.2761 44.8418 44.8442 43.1877 0.9783 44.6829 45.0805 0.6088 41.8893 43.6364 0.9824 44.2628 43.0923 7.3267 -345.4134 -382.2031
1.7322 8.8414 12.8704 0.7873 30.0704 0.0026 10.8125 0.0015 8.0075 6.4173 7.0303 4.5133 10.8491 6.6120 44.2698 44.8382 44.8476 43.2093 0.9770 44.6798 45.0772 0.6356 41.7188 43.6375 0.9881 44.2835 43.0097 7.2223 -360.3038 -382.0693
1.6346 1.6040 10.9560 0.7004 29.7887 0.0066 6.2931 0.0071 8.1274 6.4230 7.0465 4.5471 10.9367 6.2587 44.2647 44.8422 44.8533 43.2029 0.9776 44.6964 45.0864 0.6365 41.9612 43.6426 0.9796 44.2879 43.1280 7.1369 -344.1087 -381.8776
1.5006 5.1516 12.3910 0.7939 28.1862 0.0088 31.8608 0.0001 8.0597 6.5347 7.0772 4.5191 11.0492 0.7315 44.2975 44.8399 44.8408 43.2540 0.9747 44.6823 45.0791 0.6111 41.9828 43.6336 0.9781 44.2737 43.0520 7.6980 -345.2194 -382.8615
1.8279 4.7227 12.9367 0.7692 30.2970 0.0045 14.1163 0.0025 8.0574 6.3801 7.0004 4.5131 10.9830 0.6281 44.2821 44.8453 44.8502 43.1529 0.9801 44.6705 45.0778 0.6045 41.7272 43.6416 0.9880 44.2546 43.1501 7.4291 -344.7374 -381.8455
1.4406 2.4636 10.4135 0.6046 31.1960 0.0001 18.9294 0.0077 8.1228 6.3521 7.0852 4.4968 11.0431 0.7212 44.2128 44.8359 44.8381 43.1272 0.9808 44.6909 45.0803 0.6527 41.6668 43.6304 0.9892 44.2750 43.0673 6.3327 -348.7267 -389.0578
1.8745 5.8852 9.8747 0.7750 29.5837 0.0043 31.9455 0.0024 7.9209 6.4506 7.0988 4.5255 10.5759 10.4587 44.3997 44.8364 44.8448 43.2573 0.9743 44.6275 45.0559 0.5226 42.0039 43.6351 0.9772 44.2189 43.3935 9.7397 -349.6936 -384.6469
1.8670 3.4972 12.5217 0.7868 30.5001 0.0041 29.7335 0.0005 8.1923 6.4013 7.0727 4.5292 11.1843 0.0000 44.2292 44.8590 44.8595 43.1441 0.9811 44.6957 45.0959 0.6465 41.6974 43.6524 0.9890 44.2798 42.8849 6.5775 -344.2379 -386.6459
1.5534 6.9058 12.1597 0.7211 29.9446 0.0014 23.8908 0.0001 7.9559 6.4386 7.0593 4.5238 10.7011 5.7157 44.2724 44.8483 44.8533 43.2662 0.9745 44.6840 45.0849 0.6257 42.0382 43.6447 0.9759 44.2755 43.0066 7.2644 -343.7616 -381.8620
1.5756 8.4763 13.0299 0.7611 28.9232 0.0009 24.6170 0.0018 8.0136 6.4587 7.0859 4.5117 10.7181 6.1999 44.3601 44.8373 44.8399 43.2719 0.9735 44.6762 45.0751 0.5730 42.0160 43.6321 0.9764 44.2676 43.2948 8.8906 -343.7185 -384.9945
1.6731 3.1578 12.9760 0.7916 29.8048 0.0016 13.9156 0.0007 8.1066 6.4511 7.0334 4.5177 10.9672 2.1820 44.2766 44.8274 44.8364 43.2548 0.9739 44.6892 45.0747 0.6263 42.0331 43.6265 0.9751 44.2807 43.1175 7.3359 -359.9690 -383.2253
1.5863 8.6569 10.6359 0.7901 28.6468 0.0001 34.7209 0.0015 7.9791 6.5156 7.0850 4.5389 10.9672 2.1820 44.2271 44.8560 44.8572 43.1045 0.9826 44.6784 45.0873 0.6385 41.6423 43.6499 0.9903 44.2625 42.9371 6.5454 -344.0666 -387.2463
1.5719 1.0582 12.8575 0.7194 27.9328 0.0072 21.7350 0.0005 8.1881 6.5472 7.0758 4.5269 10.7775 3.5331 44.2527 44.8355 44.8357 43.2232 0.9762 44.6591 45.0672 0.6143 41.9527 43.6286 0.9793 44.2432 42.9687 6.9434 -345.6457 -382.3252
1.4248 2.7501 12.9760 0.7300 29.3952 0.0023 21.8881 0.0089 8.0317 6.5037 7.0723 4.5350 10.8046 3.7409 44.2573 44.8374 44.8469 43.2759 0.9733 44.6845 45.0787 0.6256 42.0839 43.6368 0.9728 44.2686 43.1533 7.0169 -344.3119 -383.9680
1.4375 0.4000 13.1029 0.7453 30.8247 0.0322 30.3140 0.0019 8.2576 6.3672 7.0398 4.5309 11.0423 2.5941 44.2909 44.8386 44.8414 43.2113 0.9770 44.6702 45.0735 0.6082 41.7441 43.6335 0.9873 44.2616 43.0933 7.5806 -355.3496 -381.8382
1.5833 1.5432 11.1350 0.7091 28.2803 0.0136 16.5139 0.0031 8.1119 6.4773 7.0498 4.5358 10.7757 6.5126 44.1299 44.8659 44.8675 43.2618 0.9757 44.6685 45.0895 0.7011 41.9873 43.6600 0.9792 44.2723 42.8587 5.2323 -346.0657 -381.8511
1.7122 5.7278 10.4064 0.7925 31.8612 0.0025 2.6653 0.0012 8.0060 6.3210 6.9996 4.5261 11.0375 0.7120 44.2604 44.8268 44.8289 43.2141 0.9762 44.6944 45.0763 0.6217 41.9817 43.6212 0.9776 44.2741 43.0082 7.0672 -344.6264 -383.3854
1.6469 3.8910 11.8033 0.7377 29.0040 0.0319 9.9089 0.0018 8.0285 6.5223 6.9957 4.4959 10.8699 4.3704 44.2831 44.8421 44.8434 43.2725 0.9738 44.6775 45.0786 0.6164 42.0149 43.6360 0.9766 44.2690 43.1214 7.4462 -355.5026 -382.0333
1.3038 2.1846 12.4624 0.7828 32.4434 0.0241 16.7915 0.0005 8.2164 6.2318 7.0708 4.5095 10.8046 3.7409 44.2368 44.8429 44.8430 43.1739 0.9790 44.6715 45.0766 0.6487 41.7805 43.6360 0.9862 44.2753 43.1607 6.6930 -350.0324 -381.9004
1.5662 6.5300 11.3658 0.7498 30.8015 0.0093 41.5893 0.0002 7.9903 6.3529 7.1404 4.5168 10.8402 7.0218 44.1926 44.8513 44.8662 43.2426 0.9760 44.6716 45.0821 0.6613 41.9012 43.6543 0.9826 44.2631 43.0903 6.0449 -343.8146 -382.0802
1.9604 11.6643 11.0059 0.7946 30.3101 0.0154 34.4013 0.0000 7.9043 6.3718 7.1000 4.4922 11.0423 2.5941 44.2266 44.8469 44.8489 43.1491 0.9803 44.6800 45.0824 0.6480 41.6360 43.6413 0.9902 44.2714 43.0355 6.5375 -347.7196 -383.0769
1.9312 6.8233 11.6978 0.7020 27.9593 0.0387 7.9475 0.0015 7.9657 6.5957 7.0295 4.5221 11.0841 0.0000 44.2584 44.8579 44.8681 43.0885 0.9833 44.6575 45.0807 0.6103 41.6139 43.6578 0.9910 44.2416 43.3043 7.0349 -350.9649 -388.5177
1.9645 7.9062 11.0758 0.6816 29.3166 0.0074 42.7223 0.0084 7.9491 6.4888 7.1229 4.5396 11.0746 0.0000 44.2633 44.8463 44.8466 43.1823 0.9788 44.6832 45.0833 0.6217 41.8709 43.6395 0.9832 44.2673 43.0180 7.1137 -346.3409 -389.9561
1.8317 2.1345 11.0627 0.7962 26.6600 0.0101 27.8305 0.0008 8.2399 6.6342 7.0798 4.5338 10.3901 14.5822 44.2517 44.8566 44.8571 43.1668 0.9800 44.6696 45.0842 0.6205 41.8343 43.6499 0.9849 44.2537 42.9980 6.9268 -345.1384 -381.8564
