logz logzerr logvol nlive logl logwt insert_order
-5.411287500940468311e+08 4.207572655025477707e+07 -1.725000000000000977e-01 4.000000000000000000e+02 -5.311676771221781969e+08 -5.311676832873924971e+08 1.764999999999999902e+00
-5.311676832873924971e+08 4.244425048005815595e+07 -1.750000000000000999e-01 4.000000000000000000e+02 -5.000352490417820215e+08 -5.000352552094963193e+08 1.229999999999999982e+00
-5.000352552094963193e+08 4.205067427123853564e+07 -1.775000000000001021e-01 4.000000000000000000e+02 -4.996398943157922626e+08 -4.996399004860065579e+08 6.500000000000000222e-02
-4.996399004860065579e+08 1.144797615076727420e+07 -1.800000000000001044e-01 4.000000000000000000e+02 -4.711896692061440349e+08 -4.711896753788583279e+08 1.729999999999999982e+00
-4.711896753788583279e+08 2.104711096437661350e+07 -1.825000000000001066e-01 4.000000000000000000e+02 -4.704481377725917697e+08 -4.704481439478060603e+08 9.100000000000000311e-01
-4.704481439478060603e+08 1.085338974187364615e+07 -1.850000000000001088e-01 4.000000000000000000e+02 -4.648520393927717209e+08 -4.648520455704860091e+08 1.955000000000000071e+00
-4.648520455704860091e+08 9.497669831741984934e+06 -1.875000000000001110e-01 4.000000000000000000e+02 -4.550595783293453455e+08 -4.550595845095596313e+08 4.849999999999999867e-01
-4.550595845095596313e+08 5.458063679664833471e+06 -1.900000000000001132e-01 4.000000000000000000e+02 -4.474271431055331826e+08 -4.474271492882474661e+08 4.949999999999999956e-01
-4.474271492882474661e+08 8.784512432181783020e+06 -1.925000000000001155e-01 4.000000000000000000e+02 -3.978928894949945807e+08 -3.978928956802088618e+08 2.700000000000000178e-01
-3.978928956802088618e+08 2.791470529941397160e+07 -1.950000000000001177e-01 4.000000000000000000e+02 -3.926590909097770452e+08 -3.926590970974913239e+08 1.669999999999999929e+00
-3.926590970974913239e+08 2.920723879041362181e+07 -1.975000000000001199e-01 4.000000000000000000e+02 -3.662513304370929599e+08 -3.662513366273072362e+08 9.899999999999999911e-01
-3.662513366273072362e+08 2.785333726463698223e+07 -2.000000000000001221e-01 4.000000000000000000e+02 -3.616488520885327458e+08 -3.616488582812470198e+08 3.599999999999999867e-01
-3.616488582812470198e+08 1.992931191219244152e+06 -2.025000000000001243e-01 4.000000000000000000e+02 -3.289273309791229963e+08 -3.289273371743372679e+08 1.354999999999999982e+00
-3.289273371743372679e+08 1.605017950308128074e+07 -2.050000000000001266e-01 4.000000000000000000e+02 -3.182283071420570016e+08 -3.182283133397712708e+08 1.645000000000000018e+00
-3.182283133397712708e+08 2.014202651150704175e+07 -2.075000000000001288e-01 4.000000000000000000e+02 -2.989397361325757504e+08 -2.989397423327900171e+08 1.610000000000000098e+00
-2.989397423327900171e+08 2.411355249185390398e+07 -2.100000000000001310e-01 4.000000000000000000e+02 -2.581868286478222311e+08 -2.581868348505365252e+08 1.044999999999999929e+00
-2.581868348505365252e+08 1.921110519976323470e+07 -2.125000000000001332e-01 4.000000000000000000e+02 -2.367468826042789221e+08 -2.367468888094932139e+08 5.000000000000000278e-02
-2.367468888094932139e+08 1.795194964895058051e+07 -2.150000000000001354e-01 4.000000000000000000e+02 -2.192154367890627980e+08 -2.192154429967770875e+08 1.979999999999999982e+00
-2.192154429967770875e+08 2.330825034338969737e+07 -2.175000000000001377e-01 4.000000000000000000e+02 -1.975477219313877225e+08 -1.975477281416020095e+08 1.549999999999999989e-01
-1.975477281416020095e+08 5.988639841351368465e+06 -2.200000000000001399e-01 4.000000000000000000e+02 -1.829992203027024567e+08 -1.829992265154167414e+08 5.600000000000000533e-01
-1.829992265154167414e+08 6.858229506872887723e+06 -2.225000000000001421e-01 4.000000000000000000e+02 -1.720936252671732306e+08 -1.720936314823875129e+08 9.150000000000000355e-01
-1.720936314823875129e+08 7.760580610432008281e+06 -2.250000000000001443e-01 4.000000000000000000e+02 -1.712031658276881874e+08 -1.712031720454024673e+08 1.090000000000000080e+00
-1.712031720454024673e+08 3.232279231444546487e+06 -2.275000000000001465e-01 4.000000000000000000e+02 -1.653692122285265326e+08 -1.653692184487408102e+08 1.925000000000000044e+00
-1.653692184487408102e+08 2.863759486970530823e+06 -2.300000000000001488e-01 4.000000000000000000e+02 -1.273407850268012881e+08 -1.273407912495155782e+08 1.514999999999999902e+00
-1.273407912495155782e+08 1.938212560390158370e+07 -2.325000000000001510e-01 4.000000000000000000e+02 -1.185697485223647505e+08 -1.185697547475790381e+08 1.044999999999999929e+00
-1.185697547475790381e+08 1.770190318062225729e+07 -2.350000000000001532e-01 4.000000000000000000e+02 -1.142692067982912958e+08 -1.142692130260055810e+08 6.949999999999999512e-01
-1.142692130260055810e+08 3.749594053798441775e+06 -2.375000000000001554e-01 4.000000000000000000e+02 -1.083892378674657792e+08 -1.083892440976800621e+08 1.799999999999999933e-01
-1.083892440976800621e+08 3.450446399634301197e+06 -2.400000000000001577e-01 4.000000000000000000e+02 -1.060728105642722249e+08 -1.060728167969865054e+08 2.750000000000000222e-01
-1.060728167969865054e+08 3.986214231708728243e+06 -2.425000000000001599e-01 4.000000000000000000e+02 -1.001517172994509637e+08 -1.001517235346652567e+08 1.274999999999999911e+00
-1.001517235346652567e+08 3.278387729577258229e+06 -2.450000000000001621e-01 4.000000000000000000e+02 -9.459902933408178389e+07 -9.459903557179607451e+07 4.149999999999999800e-01
-9.459903557179607451e+07 5.080598529383346438e+06 -2.475000000000001643e-01 4.000000000000000000e+02 -9.216116272324343026e+07 -9.216116896345771849e+07 3.950000000000000178e-01
-9.216116896345771849e+07 4.901760634425545111e+06 -2.500000000000001665e-01 4.000000000000000000e+02 -8.952428890059421957e+07 -8.952429514330850542e+07 3.400000000000000244e-01
-8.952429514330850542e+07 5.500314856725628488e+06 -2.525000000000001688e-01 4.000000000000000000e+02 -8.056144990648686886e+07 -8.056145615170115232e+07 6.850000000000000533e-01
-8.056145615170115232e+07 8.286154722637653351e+06 -2.550000000000001710e-01 4.000000000000000000e+02 -8.017030458946362138e+07 -8.017031083717790246e+07 2.500000000000000000e-01
-8.017031083717790246e+07 3.297607408781220671e+06 -2.575000000000001732e-01 4.000000000000000000e+02 -7.904149925866340101e+07 -7.904150550887769461e+07 7.449999999999999956e-01
-7.904150550887769461e+07 6.035845677518770099e+05 -2.600000000000001754e-01 4.000000000000000000e+02 -7.363694867518123984e+07 -7.363695492789553106e+07 1.549999999999999989e-01
-7.363695492789553106e+07 2.812119809089993127e+06 -2.625000000000001776e-01 4.000000000000000000e+02 -7.215910920670449734e+07 -7.215911546191878617e+07 1.185000000000000053e+00
-7.215911546191878617e+07 3.222389366946974769e+06 -2.650000000000001799e-01 4.000000000000000000e+02 -7.084569744151204824e+07 -7.084570369922633469e+07 1.695000000000000062e+00
-7.084570369922633469e+07 3.548886553870588541e+06 -2.675000000000001821e-01 4.000000000000000000e+02 -5.838191856622653455e+07 -5.838192482644081861e+07 6.350000000000000089e-01
-5.838192482644081861e+07 7.141603186995840631e+06 -2.700000000000001843e-01 4.000000000000000000e+02 -5.454320392675701529e+07 -5.454321018947130442e+07 8.999999999999999667e-02
-5.454321018947130442e+07 6.729071657856313512e+06 -2.725000000000001865e-01 4.000000000000000000e+02 -5.126819098745861650e+07 -5.126819725267290324e+07 6.949999999999999512e-01
-5.126819725267290324e+07 2.259502577362931333e+06 -2.750000000000001887e-01 4.000000000000000000e+02 -4.825236505556000024e+07 -4.825237132327428460e+07 6.099999999999999867e-01
-4.825237132327428460e+07 2.706384601359057240e+06 -2.775000000000001910e-01 4.000000000000000000e+02 -3.865980127815390378e+07 -3.865980754836819321e+07 1.965000000000000080e+00
-3.865980754836819321e+07 6.209536667679023929e+06 -2.800000000000001932e-01 4.000000000000000000e+02 -3.849650270422259718e+07 -3.849650897693688422e+07 5.799999999999999600e-01
-3.849650897693688422e+07 5.334948889645257965e+06 -2.825000000000001954e-01 4.000000000000000000e+02 -3.817279246644953638e+07 -3.817279874166382104e+07 1.844999999999999973e+00
-3.817279874166382104e+07 4.502258276130451821e+06 -2.850000000000001976e-01 4.000000000000000000e+02 -2.924667082120810822e+07 -2.924667709892239422e+07 1.054999999999999938e+00
