#Table1
plate,mjd,fiberid,z,h_beta_flux,h_beta_flux_err,i,err_i,dered_i,r,err_r,dered_r
784,52327,253,0.2512348,135.408,4.675119,17.74766,0.009002452,17.72146,18.06105,0.007880644,18.02579
785,52339,46,0.2926344,200.5956,4.485605,18.3767,0.01092205,18.35352,18.47652,0.008672201,18.44534
786,52319,150,0.2376035,687.257,7.412275,17.3866,0.006209152,17.35952,17.61456,0.005497795,17.57812
1284,52736,230,0.267134,385.2041,6.516995,17.61135,0.008085363,17.53994,17.75885,0.006655679,17.66275
1285,52723,39,0.1514203,834.8927,13.38132,15.76371,0.003810485,15.73023,16.15482,0.003785413,16.10975
1286,52725,384,0.2369364,77.77452,4.206486,17.2329,0.005956642,17.21288,17.63863,0.005792782,17.6117
1287,52728,296,0.1137073,1965.385,20.66439,15.49532,0.003600349,15.48057,15.90637,0.003614425,15.88652
2774,54534,38,0.2587776,221.7117,6.635383,17.63972,0.006642018,17.59077,17.8447,0.006267577,17.77883
2772,54529,231,0.2385001,930.851,7.613086,16.92311,0.005270666,16.84456,17.36991,0.005242015,17.2642
2770,54510,433,0.1965366,4131.215,27.28506,15.3056,0.003199455,15.26768,15.65592,0.00363463,15.60489
2771,54527,71,0.2015326,351.5498,7.141914,17.43905,0.00640073,17.36312,18.0577,0.007190944,17.95551
2773,54533,640,0.2134592,1652.594,19.30705,16.16116,0.004201541,16.1073,16.47902,0.003994412,16.40653
2774,54534,430,0.1098744,1842.363,34.33869,14.80111,0.003631467,14.74592,15.38054,0.003427541,15.30628
2771,54527,419,0.2610683,1618.641,13.08394,16.6557,0.004887263,16.61184,16.43433,0.00475591,16.37531
1380,53084,510,0.2762372,451.7043,6.066277,18.029,0.008637833,18.00789,18.02345,0.006728587,17.99505
1381,53089,326,0.2489426,312.3458,5.70689,17.93635,0.007812089,17.91646,18.08305,0.006751218,18.05629
1383,53116,321,0.2460904,358.9481,6.204961,17.87558,0.007686165,17.85675,18.03686,0.006956417,18.01151
1384,53121,291,0.2095468,431.3989,10.07201,16.57208,0.004785125,16.54085,16.98311,0.004684119,16.94109
294,51986,194,0.1701931,1226.009,14.94329,16.48072,0.00424732,16.44915,16.89746,0.004437584,16.85497
294,51986,299,0.2346111,66.01272,4.036871,17.04603,0.005730384,17.01002,17.45069,0.005760131,17.40222
294,51986,260,0.2078367,131.7802,6.898887,17.3947,0.005924129,17.35767,17.766,0.006101865,17.71617
294,51986,528,0.2754462,556.1118,9.229238,16.96822,0.00488932,16.92383,17.05287,0.004317839,16.99314
582,52045,428,0.2393308,150.5186,4.882825,17.68769,0.008032306,17.64353,18.02075,0.007570504,17.96132
582,52045,384,0.253616,30.66834,2.934035,18.02475,0.01027798,17.98392,18.3654,0.009082176,18.31046
583,52055,497,0.2413322,218.3956,4.767836,17.97039,0.007864122,17.92456,18.3136,0.007900869,18.25192
